userid,dev,log_time,log_date,seq_id,join_type,group_id,start_date,end_date,exp_userid,exp_dev,next_group
87141694,d_61528155628740,2015/4/18 19:16,2015/4/18,201.0,d,1803290000080,2015/4/19,2015/5/9,86880355,d_66972846519392,1803290000091
87223479,d_3411114042864,2015/4/19 20:46,2015/4/19,207.0,d,1803290000080,2015/4/19,2015/5/9,86880355,d_66972846519392,1803290000091
87223743,d_65404604033983,2015/4/19 20:59,2015/4/19,208.0,d,1803290000081,2015/4/19,2099-12-31,,,
87224755,d_3411114042864,2015/4/19 21:02,2015/4/19,209.0,d,1803290000080,2015/4/19,2015/5/9,86880355,d_66972846519392,1803290000091
87246402,d_3411114042864,2015/4/20 8:53,2015/4/20,214.0,d,1803290000080,2015/4/20,2015/5/9,86880355,d_66972846519392,1803290000091
87279651,d_69734475891253,2015/4/20 18:55,2015/4/20,216.0,d,1803290000072,2015/4/20,2015/5/12,88679235,d_69734475891253,1803290000096
87292107,d_69879033854689,2015/4/20 21:31,2015/4/20,217.0,d,1803290000079,2015/4/20,2015/5/16,88874657,p_aa755f70729ccee8584c3478fd00d8cc,1803290000102
63795304,p_b9df9e45df6c02fc63b4e76b5765cffd,2014/9/15 22:12,2014/9/15,59.0,p,1803290000082,2015/4/20,2015/6/2,35120521,d_61233056492414,1803290000116
22568784,p_e6b987345cbfa6575625ea101d7c9ac6,2013/12/3 13:08,2013/12/3,9.0,p,1803290000082,2015/4/20,2015/6/2,35120521,d_61233056492414,1803290000116
35120521,d_226716351344,2014/5/4 21:40,2014/5/4,27.0,d,1803290000082,2015/4/20,2015/6/2,35120521,d_61233056492414,1803290000116
34545273,p_042709aed0ef6eb4784c22469ab872bb,2014/5/6 21:31,2014/5/6,28.0,p,1803290000082,2015/4/20,2015/6/2,35120521,d_61233056492414,1803290000116
66485465,d_4401401718018,2014/10/11 16:01,2014/10/11,67.0,d,1803290000082,2015/4/20,2015/6/2,35120521,d_61233056492414,1803290000116
82616032,d_46890741156243,2015/1/22 12:28,2015/1/22,122.0,d,1803290000082,2015/4/20,2015/6/2,35120521,d_61233056492414,1803290000116
85266977,d_66300952712930,2015/3/15 12:16,2015/3/15,146.0,d,1803290000082,2015/4/20,2015/6/2,35120521,d_61233056492414,1803290000116
87405073,d_63135178399234,2015/4/22 18:31,2015/4/22,219.0,d,1803290000083,2015/4/22,2099-12-31,,,
87430683,d_68254687282812,2015/4/23 8:15,2015/4/23,220.0,d,1803290000066,2015/4/23,2015/5/6,87198500,d_48385372850406,1803290000088
473407,d_48385372850406,2015/4/23 9:48,2015/4/23,221.0,d,1803290000066,2015/4/23,2015/5/6,87198500,d_48385372850406,1803290000088
87484497,d_61528155628740,2015/4/24 9:45,2015/4/24,225.0,d,1803290000080,2015/4/24,2015/5/9,86880355,d_66972846519392,1803290000091
87493524,d_61854018898487,2015/4/24 12:38,2015/4/24,226.0,d,1803290000084,2015/4/24,2015/6/4,90211357,d_61854018898487,1803290000118
87582484,d_64753381607327,2015/4/25 21:44,2015/4/25,232.0,d,1803290000085,2015/4/25,2015/5/12,88682292,d_64753381607327,1803290000095
87198500,d_63933369132485,2015/4/27 8:05,2015/4/27,236.0,d,1803290000067,2015/4/27,2015/5/6,87198500,d_48385372850406,1803290000088
87802736,d_3411114042864,2015/4/29 16:59,2015/4/29,240.0,d,1803290000080,2015/4/29,2015/5/9,86880355,d_66972846519392,1803290000091
87869561,d_3411114042864,2015/4/30 15:36,2015/4/30,243.0,d,1803290000080,2015/4/30,2015/5/9,86880355,d_66972846519392,1803290000091
88062359,d_64588752790935,2015/5/3 3:25,2015/5/3,246.0,d,1803290000086,2015/5/3,2099-12-31,,,
88147630,d_3411114042864,2015/5/4 11:20,2015/5/4,249.0,d,1803290000080,2015/5/4,2015/5/9,86880355,d_66972846519392,1803290000091
88150764,d_3411114042864,2015/5/4 12:18,2015/5/4,250.0,d,1803290000080,2015/5/4,2015/5/9,86880355,d_66972846519392,1803290000091
